name,lat,lng,category
Jamia Masjid Syeed-e-na-Muhammad,33.6451406,73.0984089,mosque
Jamia Masjid Umer-e-Farooq,33.6453749,73.0956056,mosque
Jamia Masjid Al-Sabah,33.6506774,73.0873532,mosque
Jamia Masjid Tajj Sher Rabani,33.6514876,73.0945554,mosque
Jamia Masjid Umer-e-Farooq Ghossia,33.6500744,73.0924583,mosque
Jamia Masjid Bilal,33.6464558,73.0853945,mosque
Jamia Masjid Pir Anwar Shah Gillani,33.6475238,73.0862712,mosque
Jamia Masjid Syed-ul-Mursaleen,33.6443441,73.086908,mosque
Jamia Masjid Tauheed,33.6456752,73.088429,mosque
Anabat Medical Store,33.6439571,73.0854096,pharmacy
Jamia Masjid Qadeemi,33.6448412,73.0843392,mosque
"Govt. Boys Elementry School, Agriculture Form Rawalpindi",33.6438323,73.0799584,school
Allah Din Restaurant & Fast Food,33.6419449,73.0772661,restaurant
Gulstion Plaza,33.6420287,73.0838456,supermarket
Ghossia,33.641554,73.0837533,mosque
Usman Bin Afan,33.6429732,73.0849742,mosque
Rawalpindi Grammer School (Boys Campus),33.6407148,73.0815895,school
Rawalpindi Grammer School (Girls Campus),33.6408834,73.0818107,school
Jamia Khadija Zia-ul-Banat,33.6423104,73.0944955,mosque
Abu Hanifa,33.64259,73.0898065,mosque
Hanfia,33.64062,73.0850678,mosque
School Of Arabic & Modern Science,33.6392857,73.0849814,school
"Govt. MC Boys Primary School Dhok Paracha, Rawalpindi",33.6401759,73.0826716,school
"Govt. MC Girls Primary School Dhok Paracha, Rawalpindi",33.640304,73.082726,school
Younus & Madrassa Zia-ul-Quran,33.6390231,73.0825997,mosque
"Beaconhouse School System, Girls Branch Satellite Town Rawalpindi",33.6372801,73.0770167,school
"Roots School Systems Satellite Town, Rawalpindi",33.6372645,73.0776226,school
"Roots School Systems Satellite Town, Rawalpindi",33.6380015,73.0773213,school
Chudhrian,33.6390958,73.0866692,mosque
Ghossia Rizwia,33.6370585,73.0853505,mosque
Muhammadi,33.6355184,73.0826939,mosque
"Sunny Model Secondary School, Sadiqabad",33.6352892,73.0817896,school
"Govt. Girls Secondary School Majistrate Colony, Rawalpindi",33.6372972,73.0802955,school
Haji Fazal Kareem,33.6332048,73.0813967,mosque
Haji Muhammad Sadiq,33.6367761,73.0811966,mosque
New Bhangriyal,33.6341754,73.0832945,mosque
Syed-na-Bilal,33.6348765,73.0809591,mosque
Sadiqia Anwar-ul-Quran,33.6368247,73.0813318,mosque
"Rehnuma Modern Secondary School Reg. (English Medium), Sadiqabad",33.635772,73.0821915,school
Bilquis Memorial Hospital,33.6924791,73.030179,hospital
Des Pardes,33.744315,73.067953,restaurant
Islamabad Model School (IV) No.1 G-9/2,33.6909998,73.0274962,school
Khatak CNG,33.6332018,73.0364283,fuel
Tapas,33.6922587,73.0303342,restaurant
Syed-na-Saddiq-Akbar,33.6918463,73.0302501,mosque
Khulfa Rashideen,33.6905206,73.0262107,mosque
Rehmat-ul-Alaimeen,33.6922301,73.0310065,mosque
Syed-na-Ali,33.6924259,73.0275801,mosque
Faculty Lounge,33.6453958,72.9885006,cafe
Concordia 2 Cafe,33.6430227,72.9882696,cafe
Diva,33.5849101,73.0748216,restaurant
Hotel Civic,33.6121028,73.0658066,school
Akbar Internation Hotel,33.6074667,73.0642319,school
Hotel Royal Palace,33.5602162,73.0858556,school
کیفے,33.688351,73.0730755,cafe
Sailing club,33.7100317,73.126665,cafe
جامع مسجد,33.7220479,73.1069754,mosque
Faisal Colony Mosque,33.5797112,73.0385029,mosque
الائیڈ بینک لمیٹڈ,33.7226868,73.0816194,bank
عسکری بینک,33.7264282,73.0883772,bank
ایچ بی ایل پاکستان,33.7236625,73.0835047,bank
سب وے,33.7118282,73.0606103,restaurant
The Bank of Khyber,33.7261599,73.0881962,bank
AlBaraka bank Pakistan,33.7120483,73.0613958,bank
فیصل بینک,33.7149203,73.0666107,bank
الائیڈ بینک لمیٹڈ,33.7158134,73.0683195,bank
Mosque F-8/3,33.7160687,73.0479185,mosque
نیشنل بینک آف پاکستان,33.7163335,73.0693028,bank
Al Baraka,33.7205139,73.07718,bank
پاکستان اسٹیٹ آئل,33.5688406,73.1567294,fuel
Allied School,33.5662102,73.1568161,school
n Garden main mosque,33.5657191,73.1520204,mosque
Tradex,33.5715619,73.1444609,supermarket
سونیری بینک,33.5632646,73.1497377,bank
الائیڈ بینک لمیٹڈ,33.5634698,73.1500834,bank
Hashmi's,33.5656057,73.1564592,supermarket
Cock & Bull,33.5572714,73.1364875,restaurant
Khokhar Hotel,33.5698653,73.1558798,restaurant
Askari-13,33.5674052,73.0636316,mosque
پاکستان اسٹیٹ آئل,33.5610935,73.086187,fuel
سی این جی,33.5605306,73.0862842,fuel
ایم سی بی بینک,33.563686,73.0814749,bank
Nawaz Memorial,33.5635945,73.0811759,hospital
سی این جی,33.5641429,73.0792872,fuel
Frobels,33.6244294,72.9740649,school
پاکستان اسٹیٹ آئل,33.5675472,73.0527428,fuel
شیل,33.5888782,73.0456281,fuel
Sales Way,33.5584336,73.1355395,supermarket
Ace International Academy,33.5623113,73.1167494,school
Olive Garden,33.550645,73.1253768,restaurant
Mr Cod,33.550807,73.1252376,restaurant
Bank Al-Habib,33.6234762,72.97481,bank
Fauji Foundation Model School,33.5594718,73.0874743,school
سی این جی,33.6222054,72.9765971,fuel
سی این جی,33.6232474,72.975418,fuel
پاکستان اسٹیٹ آئل,33.5632445,73.0827453,fuel
Awan CNG,33.6145164,72.996051,fuel
Askari 4 Mosque,33.5847417,73.0788554,mosque
پاکستان اسٹیٹ آئل,33.5762333,73.0722328,fuel
ایم سی بی بینک,33.582688,73.0574127,bank
نیشنل بینک آف پاکستان,33.5695006,73.0667911,bank
پیزا ہٹ,33.694293,73.0142863,restaurant
F-10 Markaz Masjid,33.6970988,73.0122931,mosque
Al-Falah,33.6080246,73.011879,bank
ایم سی بی بینک,33.6065188,73.0169491,bank
Chinese,33.6098102,73.0090668,hospital
National Savings,33.609902,73.008705,bank
Allied,33.6106999,73.0064981,bank
APS Westride,33.6166559,73.0159414,school
ARL,33.5564275,73.0789174,fuel
CLUB,33.5558294,73.0802156,restaurant
Faysal,33.6066406,73.0165034,bank
Iqbal Clinic,33.6066048,73.0166268,hospital
سی این جی,33.6066718,73.0160957,fuel
HIT Hospital,33.7352271,72.82622,hospital
National Bank - NBP,33.6881755,73.0319097,bank
Bank Al-Habib,33.6882075,73.0319696,bank
میزان بینک,33.6882402,73.0320307,bank
Punjab Bank,33.6882714,73.0320891,bank
Bank Al-Habib,33.6089061,73.0093827,bank
یونائیٹڈ بینک لمیٹڈ,33.6090091,73.0090585,bank
فیصل بینک,33.5966872,73.0490731,bank
ایم سی بی بینک,33.5963791,73.048671,bank
nisar hospital,33.6059169,73.0188593,hospital
سی این جی,33.6159403,72.9901419,fuel
ایم سی بی بینک,33.6196687,72.9809619,bank
Taj  Complex,33.6211556,72.9790167,supermarket
یونائیٹڈ بینک لمیٹڈ,33.5823922,73.0591782,bank
Usmania,33.5820496,73.0592992,restaurant
Nghat Altrsound,33.6065199,73.0168038,hospital
ایچ بی ایل پاکستان,33.6072097,73.0145753,bank
Pak Turk School,33.678048,73.0613636,school
PETROL,33.7361487,72.8020034,fuel
Kohistan,33.7345661,72.802622,restaurant
Raja CNG,33.7234939,72.8061636,fuel
Byco Petroleum,33.6299752,72.9425196,fuel
CNG Petrol,33.5584857,73.0929033,fuel
Brain Surgery Hospital,33.6365733,73.077516,hospital
Hana Restaurant,33.6668683,73.073812,restaurant
Askari-13,33.5672416,73.06345,mosque
الائیڈ بینک لمیٹڈ,33.585375,73.0899508,bank
پیزا ہٹ,33.5950674,73.0555008,restaurant
Habib Bank Ltd.,33.5899482,73.0773393,bank
عسکری بینک,33.6650664,73.0609272,bank
NESCOM Hospital,33.6490366,73.0174122,hospital
Madina CNG,33.600647,73.1279386,fuel
Jamia Masjid Gulzaar e Quaid,33.5994071,73.1286065,mosque
Ar-Rasheed,33.5963799,73.1305243,mosque
Masjid-e-Quba,33.5926264,73.1278901,mosque
بينک الحبيب,33.590773,73.132874,bank
الائیڈ بینک لمیٹڈ,33.6010128,73.1259069,bank
Pak CNG,33.6080002,73.1098831,fuel
Total CNG & Petrol Pump,33.6191566,73.1234666,fuel
AR Traders CNG,33.6227302,73.1207522,fuel
Unanimous Hospital and Laboratory,33.5998733,73.1283915,hospital
Fatima Family Clinic,33.5962565,73.1299175,hospital
Muhammadi Murgh Pulao,33.5954708,73.1293158,restaurant
Al-Shifa Pharmacy,33.5957011,73.1294865,pharmacy
Roots Montessori School,33.5939737,73.1284871,school
HSL Montessori School,33.5944613,73.1287758,school
Root School - Lower Secondary,33.5947288,73.1284627,school
Beacon House School,33.5936107,73.1282965,school
Allied Model School,33.5932373,73.128063,school
The Guardian,33.5911413,73.1321191,school
Explore Ville School,33.5920909,73.1301718,school
The Educators School,33.5925087,73.1300484,school
IQRA School,33.5902789,73.131242,school
The Smart School,33.5963716,73.1300476,school
نیشنل بینک آف پاکستان,33.6078518,73.1102118,bank
Abbasi CNG Station,33.735541,73.1700632,fuel
Hascol CNG and Petrol Pump,33.7353804,73.169693,fuel
cng,33.638567,72.8999329,fuel
petrol,33.6384129,72.8996459,fuel
Baba Yasin orthopedic,33.6410642,72.88801,hospital
Path Educational System,33.6025348,73.0765256,school
National Bank,33.6444149,73.1654251,bank
Allied School Aayan Campus,33.6460405,73.1696974,school
Air Foundation School,33.6446471,73.1725651,school
ایم سی بی بینک,33.6449284,73.1739116,bank
Army Public School,33.6436114,73.1972643,school
سی این جی,33.7988772,72.9119915,fuel
Airport Cafe,33.5531845,72.8435023,restaurant
Fuel Farm,33.5582609,72.8240293,fuel
South Edge cafe,33.6417485,72.9937372,cafe
Habibi Restaurant,33.666282,73.0740707,restaurant
Midway CNG,33.6347533,73.0736067,fuel
Askari Bank Ltd - ATM Only,33.5882841,73.0758579,bank
Allied Bank Ltd - ATM Only,33.645393,72.9756494,bank
Madina Cash and Carry,33.601315,73.1249567,supermarket
Masjid Tooba,33.6756553,73.0232385,mosque
Dar Medical Complex,33.5905814,73.1335045,hospital
Mezaan Bank,33.6010348,73.1260736,bank
پی ایم ڈی سی مسجد,33.6693228,73.0452217,mosque
Allied Bank Westridge III,33.6144692,73.0106076,bank
Msz Khan Clinic,33.6144491,73.0089714,hospital
Byco petrol/cng,33.6274834,73.0191808,fuel
Peoples Food Park,33.584308,73.0249775,restaurant
Mashallah Fahad Restaurant,33.6136155,72.9917238,restaurant
Rehmania Restaurant,33.6142854,72.9922474,restaurant
شیل,33.6340042,73.0282746,fuel
الائیڈ بینک لمیٹڈ,33.636682,73.029624,bank
Spicy Nandoos,33.643523,73.162546,restaurant
پیزا ہٹ,33.643534,73.162589,restaurant
Satti plaza,33.646909,73.102653,supermarket
New PHA Dhaba,33.6728146,72.9960995,restaurant
Mega Zone,33.695829,73.017858,supermarket
Zeeshan Meat & Chicken Shop,33.7092377,73.0688236,restaurant
Islamabad Convent School,33.71053,73.04575,school
Karachi Biryani & Nihari House,33.711254,73.0379505,restaurant
Masjid e Usman,33.7170347,73.0840634,mosque
Naan Centre and Restaurant,33.7183104,73.0911371,restaurant
Papasalis Italian Restaurant,33.7225554,73.0597695,restaurant
میزان بینک,33.730416,73.077175,bank
Rahat Bakers,33.6012075,73.1254475,restaurant
Madni Masjid,33.6014248,73.1246857,mosque
Atrio Cafe & Grill,33.7221913,73.057977,restaurant
Masjid Abul Qasim,33.6411572,73.0390388,mosque
Beverage stall Trail 5,33.7444678,73.0868784,cafe
Safa Cash And Carry,33.6859142,72.8366352,supermarket
Ameer Hamza,33.6237804,73.0994765,mosque
مسجد بلال,33.5964754,73.0367682,mosque
Anwar Hospital,33.6001519,73.0375314,hospital
Al Sadiq-Saad Shaheed Hospital,33.6000488,73.0379027,hospital
COMSATS University Mosque,33.6515371,73.1558874,mosque
Old Cafe COMSATS,33.6509865,73.1551766,cafe
Nelson Pharmacy,33.5955533,73.0487632,pharmacy
NIB Bank,33.5954911,73.0488297,bank
Kim Fah Chinese Resturant,33.5950173,73.0499858,restaurant
Corner Juice,33.5973504,73.0502426,cafe
king's,33.5975156,73.0292935,restaurant
Cheema and Chatta,33.6827142,72.9803594,restaurant
Allied Bank PWD Branch,33.5713893,73.1451348,bank
Bari Imam Darbar,33.7447116,73.1106581,mosque
roots international,33.6059442,73.0213779,school
پاکستان اسٹیٹ آئل,33.6183921,72.9985596,fuel
Sohail Medical Clinic & Diagnostic Lab,33.650695,73.0894975,hospital
PSO (company operated),33.5976088,73.045987,fuel
Syeda Amina,33.6365229,73.0913999,mosque
Tabuk CNG,33.6372347,73.0920462,fuel
Muhammadi Masjid,33.637134,73.0963166,mosque
savour cng,33.6159728,72.99421,fuel
Executive Club Gym n Café,33.6907247,73.011782,cafe
National Saving Bank,33.6139129,73.0663277,bank
Islamabad Fruit and Vegetable Market (Islamabad Mandi),33.6382526,73.0285247,supermarket
Madni Masjid,33.6600513,73.0770774,mosque
Standard English School,33.5864276,73.0365534,school
Allah Wali Mosque,33.5846394,73.0357753,mosque
Patient Care Centre,33.6101818,73.0855021,hospital
National Bank,33.6103024,73.0833227,bank
Mid City Mall,33.6352256,73.0739544,supermarket
Punjab Cash & Carry,33.687286,73.0340171,supermarket
پاکستان اسٹیٹ آئل,33.5688472,73.1566458,fuel
Dr Salma Kafeel Clinic,33.7174231,73.0649213,hospital
M&S Store,33.7126976,73.0404178,supermarket
HEC ISLAMABAD,33.6761627,73.0576921,school
Jamia Masjid Hanfia Muslim Abad PAF,33.6101209,73.0788221,mosque
Humdard Dawakhana,33.5985245,73.0606375,hospital
چائنا ٹاؤن,33.7094263,73.0464423,restaurant
Hardee's,33.7210598,73.0511756,restaurant
Khiva,33.7219919,73.0588019,restaurant
HITEC,33.7266131,72.8195286,school
Save Mart,33.6435391,72.9207624,supermarket
abbasi hotel,33.6289788,73.1034826,cafe
Air University Islamabad,33.713944,73.025864,school
Beacon House I9 Campus,33.6557074,73.0529601,school
Attock Gas Station,33.6806786,73.060551,fuel
مکی,33.6356501,73.0687426,mosque
گلوریا جینز,33.5551593,73.1251986,cafe
Abasyan uni ISB,33.6555074,73.1554614,school
MCB,33.6315984,72.9684151,bank
Street 1 cafe,33.7354388,73.0781868,cafe
گلوریا جینز,33.7354879,73.0782857,cafe
Kishmish,33.7213731,73.0593553,restaurant
اسٹینڈرڈ چارٹرڈ,33.7197146,73.0553152,bank
Roasters,33.7193315,73.0552023,restaurant
الائیڈ بینک,33.7183088,73.0533342,bank
یونائیٹڈ بینک لمیٹڈ,33.7183758,73.0532751,bank
اسٹینڈرڈ چارٹرڈ,33.7127206,73.0369267,bank
Shahensha Tikka House,33.6516723,73.0772563,restaurant
Uzma model school,33.6170514,73.0738692,school
Attock Petrol & Cng station,33.6130691,73.0707406,fuel
Sunday Market,33.612743,73.0688898,supermarket
الائیڈ بینک لمیٹڈ,33.613059,73.0707959,bank
جامع مسجد,33.6146247,73.0725743,mosque
M C Girls High School for Girls,33.6150987,73.0699082,school
Masjid of Millat Colony,33.6158865,73.0688834,mosque
Sikandria college for Girls,33.613532,73.0714067,school
Aziz Medical Center,33.7308751,73.0800905,hospital
allied bank,33.6408841,73.0784938,bank
rawalpindi medical college,33.6135157,73.0816193,school
Heart Care Centre,33.636453,73.0771008,hospital
rawalpindi college of commerce and science,33.6433913,73.0636041,school
Dar-e-Arqam School,33.6275658,72.9699265,school
پاکستان اسٹیٹ آئل,33.6238964,73.0508696,fuel
college more,33.6811068,73.0185422,school
ROOTS school,33.6550655,73.1557147,school
Allah Ho Restaurant,33.6256267,72.9702873,restaurant
raza medicose,33.6187218,72.9881036,pharmacy
